Epoch,Train_Loss,Val_Loss
1,2.0281759917736055,
2,1.6867292886972427,
3,1.6544160071611405,
4,1.5118039050102234,
5,1.4908812354803085,
6,1.3904395039081574,
7,1.508527943611145,
8,1.5716239875555038,
9,1.3039405386447906,
10,1.520225637435913,0.46598959155380726
11,1.4808117761611939,
12,1.5421823143959046,
13,1.3360908340215683,
14,1.4606234707832337,
15,1.4283377331495286,
16,1.6502144030332566,
17,1.4870991318225861,
18,1.2862491384744643,
19,1.3394285315275192,
20,1.5480312645435332,0.4375977637246251
21,1.4959729533195496,
22,1.2515845630168916,
23,1.5080831334590912,
24,1.5292571271657944,
25,1.3764582996368409,
26,1.300240119934082,
27,1.572969729065895,
28,1.4123040521144867,
29,1.3819351360797882,
30,1.324577281832695,0.48300039349123836
31,1.4026423003673554,
32,1.3422509491443635,
33,1.4091705893278121,
34,1.2885223592519761,
35,1.5020087330341338,
36,1.422253949522972,
37,1.4245672994852066,
38,1.440319324374199,
39,1.3957573323249817,
40,1.3358847222328185,0.49356755265034735
41,1.2835078473091126,
42,1.5482325510978698,
43,1.258341237425804,
44,1.433086072564125,
45,1.354768255829811,
46,1.3301198595762254,
47,1.433730813741684,
48,1.2762462073564529,
49,1.4245172023773194,
50,1.319439259648323,
