Epoch,Train_Loss,Val_Loss
1,2.8790777938365935,
2,2.389095443725586,
3,2.189321298599243,
4,2.178314388751984,
5,2.377816361904144,
6,2.0908958320617677,
7,2.001005529642105,
8,2.2074370000362395,
9,2.1666701090335847,
10,2.2275297446250915,1.069651607889682
11,1.96840070438385,
12,2.1807206676006317,
13,2.137299630403519,
14,2.0681538524627685,
15,2.0008158991336824,
16,2.087332967042923,
17,2.120653702020645,
18,1.9698009178638458,
19,2.0498010244369507,
20,2.116847325325012,1.0980497626587749
21,1.9579017956256866,
22,1.9119028470516204,
23,2.067549579381943,
24,1.9308960576057435,
25,2.1218850538730623,
26,1.9084888496398926,
27,2.029103774547577,
28,2.015036520719528,
29,1.9905282734632492,
30,2.0128383703231814,1.1035153586417437
31,1.9759483835697174,
32,1.8041946017742156,
33,1.998228185415268,
34,1.949093989610672,
35,1.945861575126648,
36,1.9281948325634002,
37,2.127993987083435,
38,2.162269164085388,
39,2.01626659655571,
40,1.839229186296463,1.0326224472373724
41,1.9834761116504669,
42,1.8652960305213928,
43,1.9300049941539765,
44,1.8350527186393737,
45,1.942496128320694,
46,1.9809371016025543,
47,1.9545075087547301,
48,1.8655309510231017,
49,1.7894430205821992,
50,1.9473584852218628,
