Epoch,Train_Loss,Val_Loss
1,1.6217074545621872,
2,1.264678323149681,
3,1.0844268417358398,
4,1.113275238633156,
5,1.197272378206253,
6,1.0085004457831384,
7,1.1936123603582383,
8,1.121180188536644,
9,1.2840380657911301,
10,1.0394002319574356,0.18207188753876835
11,1.220743499815464,
12,1.2476094166040421,
13,1.1323482031822205,
14,1.0152175834178925,
15,1.147112536430359,
16,1.1104766844511031,
17,0.9498866854012012,
18,1.2404299283027649,
19,0.9294286818504334,
20,1.2370944892168045,0.1959296715212986
21,1.0269494623541833,
22,1.182406083226204,
23,1.0372752633094788,
24,1.0319953726530076,
25,1.1053672889471053,
26,1.1292006875276566,
27,1.0840967258810996,
28,1.1004236117005348,
29,1.051384233057499,
30,1.1682040516138077,0.15243123401887715
31,1.1070793993473054,
32,1.0348293872475625,
33,1.020773461341858,
34,1.0256844475567342,
35,1.0267703601717948,
36,1.0513557994961737,
37,1.018263377547264,
38,1.3076012192964555,
39,1.1511438523828983,
40,0.8991567939519882,0.18432550807483494
41,1.1336426867842675,
42,1.1178466815948487,
43,1.1025743013620377,
44,1.0935524064898492,
45,1.1232574628591538,
46,0.9867328070402145,
47,0.9570634071826934,
48,0.9998030539751053,
49,0.9236092640161514,
50,1.0919304887354373,
